To,From,Date,Subject,nombre_remitente,CurrentEmploymentType_remitente,CurrentEmploymentTitle_remitente,nombre_dest,CurrentEmploymentType_dest,CurrentEmploymentTitle_dest
Ada.Campo-Corrente@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/7/2014 11:08,"RE: Hey, I’m going home sick.",Felix Resumir,Security,Security Group Manager,Ada Campo-Corrente,Executive,SVP/CIO
Ada.Campo-Corrente@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/7/2014 12:01,"RE: Hey, I’m going home sick.",Felix Resumir,Security,Security Group Manager,Ada Campo-Corrente,Executive,SVP/CIO
Ada.Campo-Corrente@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/15/2014 18:04,RE: Deadline changed?,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Ada Campo-Corrente,Executive,SVP/CIO
Adra.Nubarron@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/10/2014 12:52,Awwww- cute!,Minke Mies,Security,Perimeter Control,Adra Nubarron,Engineering,Geologist
Adra.Nubarron@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014 10:15,Plants,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Adra Nubarron,Engineering,Geologist
Adra.Nubarron@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014 13:16,RE: Plants,Ruscella Mies Haber,Administration,Assistant to Engineering Group Manager,Adra Nubarron,Engineering,Geologist
Albina.Hafon@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/10/2014 16:08,RE: Service anniversary,Rachel Pantanal,Administration,Assistant to CIO,Albina Hafon,Facilities,Truck Driver
Anda.Ribera@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,1/7/2014 15:39,RE: Need a ride to lunch later,Gustav Cazar,Engineering,Hydraulic Technician,Anda Ribera,Administration,Assistant to CFO
Anda.Ribera@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/13/2014 14:00,Tools,Henk Mies,Facilities,Truck Driver,Anda Ribera,Administration,Assistant to CFO
Anda.Ribera@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/13/2014 16:33,RE: Tools,Henk Mies,Facilities,Truck Driver,Anda Ribera,Administration,Assistant to CFO
Anda.Ribera@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/14/2014 11:19,Who’s tracking the office pool,Lars Azada,Engineering,Engineer,Anda Ribera,Administration,Assistant to CFO
Anda.Ribera@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/14/2014 14:15,RE: Who’s tracking the office pool,Lars Azada,Engineering,Engineer,Anda Ribera,Administration,Assistant to CFO
Anda.Ribera@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1/6/2014 13:49,RE: Favor - borrow hedge trimmer,Valeria Morlun,Facilities,Truck Driver,Anda Ribera,Administration,Assistant to CFO
Axel.Calzas@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/8/2014 9:53,Supplies,Linnea Bergen,Information Technology,IT Group Manager,Axel Calzas,Engineering,Drill Technician
Axel.Calzas@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/15/2014 14:30,RE: Going home sick,Nils Calixto,Information Technology,IT Technician,Axel Calzas,Engineering,Drill Technician
Axel.Calzas@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,1/15/2014 15:25,RE: Going home sick,Nils Calixto,Information Technology,IT Technician,Axel Calzas,Engineering,Drill Technician
Axel.Calzas@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1/10/2014 11:45,RE: Out of staples,Varja Lagos,Security,Badging Office,Axel Calzas,Engineering,Drill Technician
Benito.Hawelon@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,1/8/2014 12:29,RE: Who’s tracking the office pool,Elsa Orilla,Engineering,Drill Technician,Benito Hawelon,Facilities,Truck Driver
Benito.Hawelon@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,1/8/2014 13:07,RE: Who’s tracking the office pool,Elsa Orilla,Engineering,Drill Technician,Benito Hawelon,Facilities,Truck Driver
Benito.Hawelon@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/17/2014 10:17,RE: Are you buying coffee?,Felix Resumir,Security,Security Group Manager,Benito Hawelon,Facilities,Truck Driver
Benito.Hawelon@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/17/2014 11:25,RE: Are you buying coffee?,Felix Resumir,Security,Security Group Manager,Benito Hawelon,Facilities,Truck Driver
Benito.Hawelon@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,1/10/2014 10:24,Concert,Kare Orilla,Engineering,Drill Technician,Benito Hawelon,Facilities,Truck Driver
Birgitta.Frente@gastech.com.kronos,Isak.Baza@gastech.com.kronos,1/15/2014 15:14,RE: Are you buying coffee?,Isak Baza,Information Technology,IT Technician,Birgitta Frente,Engineering,Geologist
Birgitta.Frente@gastech.com.kronos,Isak.Baza@gastech.com.kronos,1/15/2014 15:30,RE: Are you buying coffee?,Isak Baza,Information Technology,IT Technician,Birgitta Frente,Engineering,Geologist
Carla.Forluniau@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/7/2014 11:14,I’m in! -  post a list,Felix Balas,Engineering,Engineer,Carla Forluniau,Administration,Assistant to IT Group Manager
Carla.Forluniau@gastech.com.kronos,Felix.Balas@gastech.com.kronos,1/7/2014 12:37,RE: I’m in! -  post a list,Felix Balas,Engineering,Engineer,Carla Forluniau,Administration,Assistant to IT Group Manager
Carla.Forluniau@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/16/2014 11:22,RE: Favor - borrow hedge trimmer,Varro Awelon,Facilities,Janitor,Carla Forluniau,Administration,Assistant to IT Group Manager
Carla.Forluniau@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/16/2014 12:36,RE: Favor - borrow hedge trimmer,Varro Awelon,Facilities,Janitor,Carla Forluniau,Administration,Assistant to IT Group Manager
Cecilia.Morluniau@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,1/7/2014 13:48,Plants,Adra Nubarron,Engineering,Geologist,Cecilia Morluniau,Facilities,Truck Driver
Cecilia.Morluniau@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,1/6/2014 15:17,RE: Supplies,Ingrid Barranco,Executive,SVP/CFO,Cecilia Morluniau,Facilities,Truck Driver
Claudio.Hawelon@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/9/2014 11:51,Awwww- cute!,Isia Vann,Security,Perimeter Control,Claudio Hawelon,Facilities,Truck Driver
Claudio.Hawelon@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/9/2014 14:49,RE: Awwww- cute!,Isia Vann,Security,Perimeter Control,Claudio Hawelon,Facilities,Truck Driver
Claudio.Hawelon@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/9/2014 14:57,RE: Awwww- cute!,Isia Vann,Security,Perimeter Control,Claudio Hawelon,Facilities,Truck Driver
Claudio.Hawelon@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/13/2014 9:01,The rest of the files are in your mailbox,Isia Vann,Security,Perimeter Control,Claudio Hawelon,Facilities,Truck Driver
Claudio.Hawelon@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/15/2014 12:10,Favor - borrow hedge trimmer,Linnea Bergen,Information Technology,IT Group Manager,Claudio Hawelon,Facilities,Truck Driver
Claudio.Hawelon@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1/15/2014 13:15,RE: Favor - borrow hedge trimmer,Linnea Bergen,Information Technology,IT Group Manager,Claudio Hawelon,Facilities,Truck Driver
Claudio.Hawelon@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/6/2014 17:34,RE: Are you buying coffee?,Rachel Pantanal,Administration,Assistant to CIO,Claudio Hawelon,Facilities,Truck Driver
Cornelia.Lais@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/7/2014 12:37,No hurry,Hideki Cocinaro,Security,Site Control,Cornelia Lais,Administration,Assistant to Security Group Manager
Cornelia.Lais@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/7/2014 14:33,RE: No hurry,Hideki Cocinaro,Security,Site Control,Cornelia Lais,Administration,Assistant to Security Group Manager
Dante.Coginian@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/9/2014 15:04,They need that report today,Felix Resumir,Security,Security Group Manager,Dante Coginian,Facilities,Lead Janitor
Dante.Coginian@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/9/2014 17:02,RE: They need that report today,Felix Resumir,Security,Security Group Manager,Dante Coginian,Facilities,Lead Janitor
Dante.Coginian@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/9/2014 11:31,Tools,Hideki Cocinaro,Security,Site Control,Dante Coginian,Facilities,Lead Janitor
Dante.Coginian@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/9/2014 13:15,RE: Tools,Hideki Cocinaro,Security,Site Control,Dante Coginian,Facilities,Lead Janitor
Dante.Coginian@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/9/2014 14:27,RE: Tools,Hideki Cocinaro,Security,Site Control,Dante Coginian,Facilities,Lead Janitor
Dante.Coginian@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,1/6/2014 15:58,RE: Congratulations on your service anniversary,Lucas Alcazar,Information Technology,IT Helpdesk,Dante Coginian,Facilities,Lead Janitor
Dante.Coginian@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,1/7/2014 11:55,Document stuck,Mat Bramar,Administration,Assistant to CEO,Dante Coginian,Facilities,Lead Janitor
Edvard.Vann@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,1/7/2014 17:22,RE: Money for coffee fund,Elsa Orilla,Engineering,Drill Technician,Edvard Vann,Security,Perimeter Control
Edvard.Vann@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,1/7/2014 17:57,RE: Money for coffee fund,Elsa Orilla,Engineering,Drill Technician,Edvard Vann,Security,Perimeter Control
Edvard.Vann@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1/17/2014 16:17,RE: Out of staples,Henk Mies,Facilities,Truck Driver,Edvard Vann,Security,Perimeter Control
Elsa.Orilla@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/8/2014 9:43,Who’s tracking the office pool,Benito Hawelon,Facilities,Truck Driver,Elsa Orilla,Engineering,Drill Technician
Elsa.Orilla@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/8/2014 13:06,RE: Who’s tracking the office pool,Benito Hawelon,Facilities,Truck Driver,Elsa Orilla,Engineering,Drill Technician
Elsa.Orilla@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1/8/2014 13:10,RE: Who’s tracking the office pool,Benito Hawelon,Facilities,Truck Driver,Elsa Orilla,Engineering,Drill Technician
Elsa.Orilla@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,1/7/2014 15:09,Money for coffee fund,Edvard Vann,Security,Perimeter Control,Elsa Orilla,Engineering,Drill Technician
Elsa.Orilla@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,1/7/2014 17:34,RE: Money for coffee fund,Edvard Vann,Security,Perimeter Control,Elsa Orilla,Engineering,Drill Technician
Elsa.Orilla@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,1/7/2014 18:59,RE: Money for coffee fund,Edvard Vann,Security,Perimeter Control,Elsa Orilla,Engineering,Drill Technician
Emile.Arpa@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,1/10/2014 12:57,RE: Copier,Lucas Alcazar,Information Technology,IT Helpdesk,Emile Arpa,Facilities,Janitor
Emile.Arpa@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,1/10/2014 14:22,RE: Copier,Lucas Alcazar,Information Technology,IT Helpdesk,Emile Arpa,Facilities,Janitor
Emile.Arpa@gastech.com.kronos,Marin.Onda@gastech.com.kronos,1/15/2014 11:17,Files,Marin Onda,Engineering,Drill Site Manager,Emile Arpa,Facilities,Janitor
Emile.Arpa@gastech.com.kronos,Marin.Onda@gastech.com.kronos,1/15/2014 14:04,RE: Files,Marin Onda,Engineering,Drill Site Manager,Emile Arpa,Facilities,Janitor
