To,From,total
Ada.Campo-Corrente@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,2
Ada.Campo-Corrente@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1
Adra.Nubarron@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1
Adra.Nubarron@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,2
Albina.Hafon@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1
Anda.Ribera@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,1
Anda.Ribera@gastech.com.kronos,Henk.Mies@gastech.com.kronos,2
Anda.Ribera@gastech.com.kronos,Lars.Azada@gastech.com.kronos,2
Anda.Ribera@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1
Axel.Calzas@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,1
Axel.Calzas@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,2
Axel.Calzas@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1
Benito.Hawelon@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,2
Benito.Hawelon@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,2
Benito.Hawelon@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,1
Birgitta.Frente@gastech.com.kronos,Isak.Baza@gastech.com.kronos,2
Carla.Forluniau@gastech.com.kronos,Felix.Balas@gastech.com.kronos,2
Carla.Forluniau@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,2
Cecilia.Morluniau@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,1
Cecilia.Morluniau@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,1
Claudio.Hawelon@gastech.com.kronos,Isia.Vann@gastech.com.kronos,4
Claudio.Hawelon@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,2
Claudio.Hawelon@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1
Cornelia.Lais@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,2
Dante.Coginian@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,2
Dante.Coginian@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,3
Dante.Coginian@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,1
Dante.Coginian@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,1
Edvard.Vann@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,2
Edvard.Vann@gastech.com.kronos,Henk.Mies@gastech.com.kronos,1
Elsa.Orilla@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,3
Elsa.Orilla@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,3
Emile.Arpa@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,2
Emile.Arpa@gastech.com.kronos,Marin.Onda@gastech.com.kronos,2
Felix.Balas@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,2
Felix.Balas@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1
Felix.Resumir@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,2
Felix.Resumir@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,3
Felix.Resumir@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1
Gustav.Cazar@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,2
Gustav.Cazar@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,3
